,Income,MonthlyCharge
165,28022.56,159.951231
166,35478.4,149.948316
167,10155.51,149.959755
168,87537.25,137.469817
170,32653.51,164.985293
171,35321.46,159.965008
172,49277.48,172.462354
173,37297.82,204.949594
174,14928.96,147.473844
175,24702.68,162.471255
176,87535.71,119.95684
177,63166.87,207.609354
179,27326.79,174.975543
180,12779.23,240.114868
181,25519.91,240.114868
182,46871.21,139.983006
183,77383.72,240.114868
184,47395.3,209.993134
185,90977.74,147.456419
186,135727.71,107.495766
189,41531.03,142.482694
190,33504.8,117.439154
191,34197.3,220.132293
192,11518.58,152.455519
193,31065.17,174.961766
194,32097.17,202.443347
195,23424.88,210.12704
197,35539.7,139.965008
198,27959.34,137.439154
200,18198.59,252.637807
202,16440.05,242.610632
205,30664.56,240.114868
206,31934.04,174.975543
207,26676.4,169.944668
209,31136.77,119.95684
210,40660.84,137.439154
211,10606.59,207.46728
212,92447.71,149.974105
214,13765.39,232.637807
216,42523.02,137.469817
217,52143.7,220.132293
218,19097.94,124.960655
219,11301.4,199.990219
220,17814.0,159.947583
221,22533.05,245.145743
222,19974.4,255.155493
223,45146.99,134.950905
224,10330.1,159.947583
225,15281.28,139.987503
226,11217.96,179.947583
227,17516.0,127.473844
228,20566.64,232.637807
229,36128.68,195.006206
230,52129.84,267.642733
231,25985.06,149.959755
232,10909.79,220.114868
233,41151.14,157.483594
236,41412.1,255.133571
237,99195.08,194.966286
238,18408.94,179.965581
239,15930.45,174.976769
240,25611.29,187.609354
241,9428.86,169.937833
243,118022.06,152.462354
244,51992.79,207.609354
246,37706.85,200.118516
249,25146.14,147.442069
250,58882.35,197.494455
253,70476.82,159.965581
255,35060.94,202.649979
256,66055.53,134.950905
257,91335.76,142.500692
259,75042.1,232.62403
260,91001.1,242.628057
261,44426.28,202.443347
263,14039.21,174.976769
264,12453.24,225.145743
265,15934.12,275.133571
266,48314.4,287.642733
268,10701.11,220.114868
270,13493.63,194.974431
272,368.5,147.478341
274,56154.5,157.483594
275,62145.59,255.141716
276,6517.94,137.439154
277,19090.03,235.159141
278,13194.33,147.460067
279,63963.36,232.637807
280,34447.89,137.439154
281,36315.29,129.948316
282,5009.07,242.632554
283,14202.72,187.609354
286,11250.71,159.947583
287,65951.35,137.487242
288,15292.25,245.131966
289,41879.1,117.439154
290,17080.57,209.993134
291,68122.23,169.974105
292,39468.79,197.470195
294,84301.44,207.475448
295,42469.81,160.00128
296,75458.79,147.478341
299,42755.27,220.132293
300,76874.25,214.952509
302,63095.62,270.160419
303,82131.87,202.443347
304,28502.33,172.47417
307,13583.35,174.969934
309,55398.87,144.988941
312,56178.63,124.97808
313,21053.35,174.991856
315,74061.48,139.965008
316,35102.93,192.470522
317,26391.1,220.118516
318,29982.49,232.622804
320,37583.97,114.972827
321,28654.87,149.977753
322,119968.61,184.985293
323,11591.09,132.479779
324,70174.11,190.12704
326,17191.02,220.114868
327,24732.09,107.495766
330,87568.16,200.132293
331,69327.78,262.610632
333,12951.51,202.636202
334,11179.42,127.478341
335,47288.09,159.983006
336,114398.35,124.960655
337,105646.73,252.62403
338,42386.84,104.97808
339,38864.57,204.961033
340,25215.22,245.145743
342,45225.74,169.937833
343,29976.15,207.475448
345,14980.5,232.637807
346,24017.57,225.131966
347,26204.77,212.641455
349,46622.3,134.950905
350,34419.26,200.132293
351,8507.97,197.470195
352,64420.19,192.456745
353,122263.81,162.471255
355,20647.83,114.950905
356,23956.91,182.446995
358,50150.81,172.456745
361,40728.96,220.118516
363,65187.42,159.965008
364,26005.77,182.465269
365,10423.75,129.977753
368,67319.27,162.471255
369,71348.1,154.961766
370,39231.99,194.976769
371,28129.21,192.48852
372,69104.9,162.452604
374,65229.24,142.482694
377,1666.59,139.987503
378,50258.38,112.455141
379,54373.35,212.622804
380,33588.84,182.460772
381,23629.05,159.947583
382,91186.03,245.145743
383,20204.74,149.977753
384,37703.83,184.967019
385,29117.32,92.455141
386,52531.72,149.944668
387,25742.72,167.456419
390,20811.42,162.482694
391,34474.39,262.610632
394,11655.88,212.641455
395,37773.19,104.964303
396,40183.01,232.637807
398,10331.57,277.63748
399,37096.85,112.455141
400,26004.59,220.118516
401,77291.95,139.951231
402,24462.25,184.978458
404,28840.47,142.468917
405,25299.48,160.00128
406,37631.4,127.481989
407,23014.69,162.452604
408,31300.68,172.457857
409,55840.35,255.155493
410,9729.44,184.979684
411,35891.67,175.006206
412,20801.9,112.455141
413,112429.2,194.958118
414,33217.64,172.44408
416,15380.9,127.460067
417,100232.53,147.478341
418,57900.98,207.49737
419,60476.86,169.937833
420,26875.13,152.457857
421,24447.03,162.460772
422,14817.22,200.132293
423,6170.55,182.460772
424,33620.38,124.97808
425,86453.08,230.105118
426,31466.9,147.473844
427,76984.15,142.482694
428,43586.8,152.479779
431,71215.87,184.978458
432,18113.33,134.950905
434,48852.54,192.470522
435,6574.36,149.962093
438,31843.16,169.944668
439,31920.88,207.49737
440,54961.9,245.145743
441,119964.79,127.478341
442,21897.41,182.467607
443,72129.01,267.642733
445,59147.78,164.978458
446,65900.37,240.114868
447,69369.36,124.960655
448,23382.74,127.442069
449,25886.2,169.992756
450,99519.26,169.992756
451,93039.69,179.979358
452,37852.37,134.950905
453,54727.46,192.440432
454,47944.46,172.440432
457,31392.97,159.965008
459,20197.89,179.965581
460,99482.26,252.62403
462,50666.54,240.114868
464,7953.27,182.45383
465,101000.3,149.944668
466,10882.02,144.960655
467,69156.25,187.609354
468,19563.77,129.962093
470,156740.67,192.440432
471,23165.82,172.44408
473,5337.97,159.965008
474,72490.86,167.484705
475,12476.24,129.962093
477,32885.95,124.97808
478,80862.03,255.137219
479,49800.1,230.105118
480,6958.83,182.460772
481,19133.76,255.155493
482,23413.1,172.457857
483,11957.82,137.483594
484,31250.41,167.456419
485,9487.91,127.495766
486,13533.47,287.642733
487,46533.08,167.456419
488,47946.16,164.988941
489,14393.72,242.632554
491,11249.18,257.63748
492,18684.74,129.977753
493,75276.52,232.622804
494,78129.73,182.467607
495,97761.18,220.132293
496,20789.86,252.637807
497,34038.71,142.452604
498,16051.94,94.972827
499,24266.04,210.105118
500,28712.86,92.455141
501,18966.81,194.969934
502,67530.44,129.977753
503,38866.92,242.628057
504,44314.39,197.48762
505,26929.55,242.610632
506,50643.95,139.934918
507,4803.58,112.455141
510,20314.7,107.495766
511,146494.7,92.455141
512,28908.4,225.145743
513,159315.5,232.62403
516,39802.79,242.628057
517,50195.66,184.964681
518,52946.65,182.443347
521,21795.58,149.937833
522,5192.16,157.469817
523,60897.92,152.510442
525,24091.33,139.951231
526,41209.8,117.439154
527,26695.46,235.137219
528,14185.42,149.977753
531,56131.21,172.456745
532,50560.17,137.439154
533,24202.12,197.494455
534,1668.97,204.961033
535,36973.83,162.482694
537,34228.9,169.974105
538,31159.95,129.959755
540,36121.33,179.947583
541,76136.04,167.456419
542,20957.58,240.114868
543,33559.74,194.976769
544,30142.44,245.146969
545,21663.69,139.987503
546,12924.08,197.483972
548,31006.39,197.470195
549,28580.25,149.974105
550,23706.94,204.979684
552,77622.97,225.131966
553,86411.28,202.636202
554,46353.07,127.460067
555,62359.81,162.482694
557,51203.14,169.937833
558,10818.08,159.934918
559,33165.9,217.470195
560,25819.56,245.146969
561,21806.2,177.48762
562,28082.45,162.465269
563,69662.99,147.456419
564,54674.22,134.950905
565,16706.02,127.442069
566,31980.81,184.978458
568,57107.43,182.443347
570,65191.79,162.500692
571,35947.74,137.439154
572,23022.97,220.114868
575,3504.7,275.133571
576,20125.41,194.958118
577,25807.14,124.97808
578,21801.03,92.455141
579,15518.51,229.993134
580,10299.94,147.478341
581,30944.95,179.947583
582,80906.28,175.006206
583,39281.35,204.963371
584,14536.31,210.12704
585,43044.31,184.967019
586,19373.31,200.118516
590,48163.8,137.483594
591,25331.3,137.483594
593,2374.22,114.972827
594,88915.15,207.609354
595,21168.49,134.950905
596,74026.91,240.114868
597,21064.75,149.959755
598,42659.99,134.950905
599,15253.93,204.963371
600,29353.41,149.977753
601,35089.38,139.934918
603,55081.63,152.479779
604,16581.74,139.95684
605,29361.24,229.993134
606,26164.5,142.471255
607,60231.84,159.947583
608,20191.76,240.114868
609,44316.41,172.440432
611,58324.01,149.962093
612,48137.75,134.950905
613,19639.83,159.965008
614,27259.78,232.637807
615,86897.5,149.962093
616,27537.94,184.963371
618,29823.06,159.951231
619,28790.03,147.442069
620,63725.44,242.632554
622,37552.96,172.457857
623,163086.24,140.00128
624,15621.76,144.988941
626,14331.34,275.133571
628,37860.79,197.48762
630,49915.86,184.978458
631,11455.64,207.609354
633,67019.55,220.132293
634,61436.18,242.632554
635,83705.06,154.991856
636,58187.53,139.987503
637,36699.84,245.145743
638,26942.28,187.609354
639,15638.87,159.965008
640,49252.56,192.440432
641,8497.8,172.440432
642,56574.39,204.961033
643,58297.91,222.649979
644,24940.07,159.951231
645,18410.16,159.965008
646,85742.06,152.510442
648,20485.31,184.978458
649,24166.24,127.481989
650,60415.32,220.118516
651,40667.47,162.482694
652,29876.17,245.146969
653,22790.72,162.465269
655,94520.02,147.478341
656,172884.11,184.963371
657,45301.07,172.47417
658,13673.66,200.132293
659,33731.69,92.455141
660,47738.37,214.966286
663,73566.21,210.105118
664,50601.07,142.500692
667,12428.24,134.950905
670,32796.83,162.482694
672,44349.71,92.455141
673,37376.03,255.155493
674,60317.8,159.983006
675,72436.33,169.944668
679,37415.85,112.455141
680,114609.0,92.455141
681,90059.86,127.442069
682,25670.71,129.962093
684,39087.76,212.641455
686,16593.59,149.937833
687,18326.88,232.641455
688,168097.1,192.470522
689,5850.56,194.966286
691,66365.07,192.48852
692,53562.86,152.479779
693,28937.89,154.961766
694,62952.13,124.97808
695,45777.4,152.44408
696,6396.98,232.641455
697,26785.51,182.465269
698,23311.73,242.610632
699,65056.0,202.443347
700,62921.94,117.487242
701,120435.58,184.979684
702,12145.97,240.114868
703,46111.61,184.967019
705,18893.5,184.985293
706,11583.37,277.63748
707,16852.05,172.457857
708,68180.35,194.966286
709,26569.28,174.975543
710,24034.97,149.937833
711,19474.37,112.455141
712,23775.33,149.959755
713,52875.82,277.63748
715,68647.24,117.439154
716,84826.6,275.133571
717,42305.68,147.456419
718,18301.98,204.949594
720,28330.55,129.962093
721,11661.07,242.610632
722,82226.63,127.442069
723,8864.63,104.964303
724,96022.76,182.443347
725,52856.4,159.947583
726,37772.16,157.483594
727,53135.08,129.948316
728,38311.94,139.934918
729,25100.17,222.649979
730,9080.2,162.482694
732,24518.97,204.949594
733,57938.27,139.965008
734,24865.85,182.465269
736,48226.58,220.118516
737,5694.61,154.991856
738,15603.09,142.452604
739,46988.4,147.442069
740,88666.42,124.97808
741,65540.61,220.118516
742,112914.39,117.439154
744,27588.53,162.482694
745,3563.55,159.947583
746,106964.84,104.97808
749,38656.75,169.937833
750,23806.03,147.473844
752,23507.1,195.006206
754,9994.08,245.145743
755,31779.0,220.132293
756,18938.33,147.442069
757,29459.16,275.119794
758,17520.23,162.45383
759,15615.89,124.964303
760,44493.49,192.48852
761,5997.99,104.97808
762,48557.08,137.487242
763,13756.31,124.97808
764,12366.21,172.44408
765,11232.67,114.972827
766,14999.93,202.443347
767,30300.58,159.983006
768,12339.69,187.46728
769,9297.37,157.469817
770,27581.84,212.641455
771,45553.16,172.470522
773,11408.67,134.950905
774,11391.26,187.484705
776,30446.44,182.483267
777,75130.89,210.105118
779,10589.74,194.974431
780,7868.29,139.983006
781,33329.83,262.610632
782,27798.01,255.119794
783,112245.07,192.470522
784,45427.24,114.950905
785,59333.32,129.99153
786,49740.98,129.99153
787,15543.8,114.972827
788,31138.29,159.979358
789,6972.84,164.964681
790,54471.65,159.965581
791,1425.61,160.00128
792,29470.61,149.959755
793,5149.97,222.628057
794,57559.65,204.963371
795,14824.71,172.44408
796,74381.07,220.114868
798,4297.28,270.160419
799,36678.72,152.44408
800,20433.9,232.62403
801,17089.24,222.632554
802,27466.82,262.610632
803,29249.18,179.979358
805,10231.67,242.628057
806,51937.51,182.465269
807,6914.4,92.455141
808,35808.85,179.965581
809,43329.35,255.119794
810,25435.29,182.460772
812,98173.49,207.609354
813,6990.37,117.468591
815,21616.35,217.470195
816,29736.31,245.146969
817,10670.46,177.48762
818,15842.09,172.44408
820,29907.64,147.442069
821,12482.52,242.61428
823,47300.07,212.641455
824,42440.36,154.975543
825,35223.63,154.975543
826,87580.83,207.481057
827,24608.16,127.495766
828,32011.39,127.442069
829,78944.18,194.976769
832,14715.35,184.971516
833,3401.06,182.446995
834,45181.91,169.944668
835,51909.42,220.132293
836,20070.17,142.452604
839,37119.33,157.483594
840,28056.39,200.118516
841,6169.09,149.959755
842,14219.58,182.460772
843,48525.16,212.641455
844,42076.21,149.977753
846,12476.49,152.466002
847,71049.68,142.482694
848,80844.48,132.479779
850,58126.33,240.114868
851,47218.76,230.105118
854,69238.83,117.468591
855,11969.69,247.664655
857,27405.08,162.467607
858,17280.24,277.651257
859,37330.86,172.455519
860,32389.5,149.959755
861,26728.25,172.456745
862,67100.14,169.992756
863,26763.52,172.440432
864,24147.42,194.988208
865,18653.61,235.141716
866,37922.51,242.61428
869,2978.04,179.947583
870,9441.99,139.934918
873,20761.43,187.481057
874,21486.46,225.145743
875,36233.87,159.965008
876,22120.88,255.141716
879,36574.2,182.465269
880,40921.71,129.948316
881,32746.0,152.47417
882,73919.79,207.49737
883,64292.47,154.991856
884,73331.45,137.468591
885,50561.44,207.481057
886,39478.06,137.439154
887,40460.35,252.62403
890,71916.6,137.439154
891,38692.31,267.664655
892,8882.51,157.469817
893,36384.62,154.975543
894,22107.4,117.439154
897,45020.08,162.452604
898,33543.36,144.960655
900,40108.38,129.962093
903,6424.15,147.478341
906,46728.49,220.132293
907,20841.67,184.967019
908,7862.38,124.964303
909,12000.1,182.467607
910,29812.92,162.500692
911,49710.21,172.470522
913,70133.7,257.63748
914,78537.66,222.628057
915,42917.45,152.479779
916,6300.17,112.455141
918,32399.51,162.471255
920,97592.52,194.958118
921,28704.22,149.944668
922,43995.62,182.460772
923,26659.08,204.949594
925,14623.21,164.985293
927,7598.57,277.651257
928,23773.72,275.133571
929,29810.9,152.510442
930,47683.58,184.971516
931,77396.38,227.475448
932,39770.82,184.967019
933,83953.98,129.977753
934,76785.63,275.119794
935,37860.53,194.958118
938,45860.11,192.440432
939,24499.96,139.965008
940,4493.49,182.443347
942,9035.25,139.934918
944,17773.11,210.105118
945,47573.47,172.44408
947,59153.65,144.960655
948,71934.85,210.12704
949,32149.05,192.470522
951,17714.64,169.937833
952,21128.1,222.649979
953,17104.94,200.118516
954,132139.98,255.137219
955,6953.72,190.12704
957,131500.47,220.132293
958,55859.65,142.468917
959,36226.45,142.471255
960,44520.0,275.133571
961,43738.55,162.482694
963,55821.74,204.949594
964,88584.08,147.460067
966,7371.1,190.12704
967,20377.63,222.632554
969,47154.41,200.132293
970,49397.46,172.44408
971,38914.23,179.947583
972,186035.04,235.141716
973,37340.2,172.440432
974,22303.29,240.114868
975,7211.12,152.479779
977,46257.12,154.975543
978,94363.97,127.442069
979,15902.97,162.446995
980,11586.87,230.105118
981,29621.97,262.610632
982,29853.08,149.99153
983,30594.26,187.609354
984,19287.42,104.97808
985,48925.7,222.636202
986,13622.77,255.155493
987,4032.12,129.962093
988,23162.08,229.993134
989,25593.92,149.948316
990,45252.03,220.132293
991,18394.86,149.962093
993,10365.43,179.965581
994,109366.11,225.131966
995,47719.56,230.105118
998,59990.91,149.948316
999,48587.84,265.146969
1000,154718.85,242.61428
1001,6315.99,167.456419
1004,37938.69,132.479779
1005,15202.61,139.95684
1006,22880.13,207.609354
1008,33323.68,172.456745
1009,10181.73,124.964303
1010,35681.35,179.979358
1011,43506.03,137.439154
1013,27475.94,210.105118
1014,59702.94,222.636202
1015,18203.4,172.510442
1016,117194.61,220.114868
1018,3836.01,287.642733
1019,35426.36,140.00128
1020,126236.18,207.46728
1021,28797.05,124.960655
1022,43552.14,162.460772
1023,14508.23,157.483594
1024,25312.29,129.977753
1025,40787.88,172.47417
1026,77269.05,149.948316
1027,35357.64,182.446995
1028,9033.82,182.460772
1029,50934.88,132.466002
1030,20916.69,287.642733
1031,47114.13,162.497044
1032,14562.52,139.987503
1033,74091.67,179.965581
1034,55625.04,172.47417
1036,34434.44,124.960655
1037,14547.9,124.960655
1038,67235.07,129.99153
1039,48597.51,222.649979
1040,33823.17,255.141716
1041,58384.68,172.455519
1043,20614.28,232.641455
1044,22247.54,182.460772
1045,36486.42,184.963371
1046,4109.71,187.484705
1049,17782.67,147.460067
1050,89527.4,92.455141
1051,5387.61,179.947583
1052,10842.41,270.160419
1053,30185.46,267.642733
1055,25434.15,232.641455
1057,28589.45,232.622804
1059,91252.07,172.456745
1060,24600.9,182.460772
1061,60420.05,242.61428
1064,33663.55,184.978458
1065,78661.45,157.469817
1066,31578.17,162.467607
1067,37747.34,210.12704
1068,56372.08,199.990219
1069,20372.35,144.960655
1070,15878.23,164.985293
1071,70711.36,245.146969
1072,7966.08,107.481989
1073,81748.07,142.468917
1074,19146.42,187.609354
1075,61256.3,242.628057
1078,51529.04,172.457857
1079,59195.65,217.483972
1080,28727.43,139.983006
1081,17101.08,129.959755
1083,80892.92,117.487242
1084,13376.86,214.952509
1085,20840.13,202.443347
1087,79189.23,255.119794
1088,11354.23,190.12704
1089,64088.93,202.649979
1090,25808.98,149.944668
1091,40548.91,182.467607
1092,96857.54,182.446995
1093,27775.18,192.470522
1094,9843.69,139.951231
1095,39504.22,144.988941
1096,162360.14,157.483594
1097,43677.84,184.985293
1099,37952.49,210.105118
1100,31964.0,187.46728
1101,70461.04,142.500692
1102,28269.35,149.959755
1103,68188.8,124.97808
1104,25313.42,214.952509
1105,30567.39,152.455519
1108,20056.65,127.460067
1109,26031.22,159.965008
1110,11835.48,152.479779
1111,14595.56,119.95684
1112,46393.66,159.965581
1113,19439.54,139.951231
1114,16117.26,210.12704
1115,132334.77,240.114868
1116,70839.0,117.487242
1117,52852.51,242.628057
1118,11828.76,225.145743
1122,66146.86,132.479779
1123,47757.95,184.961033
1124,21861.69,202.443347
1125,41446.86,159.965008
1126,22032.37,167.456419
1127,52729.59,114.972827
1128,31026.92,159.987503
1131,13288.17,194.988208
1132,37518.71,172.457857
1134,10530.09,147.456419
1135,22898.91,252.637807
1136,30814.46,187.481057
1137,53777.29,137.483594
1139,87315.7,242.610632
1140,30195.71,167.484705
1141,16937.26,267.664655
1143,87428.18,169.974105
1144,19821.7,159.947583
1146,57343.6,172.457857
1147,15777.93,187.484705
1148,50109.93,202.636202
1149,63005.71,277.63748
1150,39585.8,104.97808
1152,23288.22,152.44408
1153,27430.39,154.975543
1154,54669.67,217.470195
1155,53862.8,192.470522
1156,55264.57,207.49737
1158,14629.71,162.471255
1159,60109.62,222.61428
1161,18136.36,92.455141
1162,99100.1,222.61428
1163,28987.95,207.49737
1164,48455.85,139.934918
1167,90596.15,159.987503
1168,82251.92,162.452604
1169,41210.5,152.44408
1171,8669.16,252.637807
1172,3551.89,242.610632
1173,18788.66,192.440432
1174,68738.07,262.610632
1175,21671.58,94.972827
1176,33714.3,124.97808
1178,40133.04,275.119794
1180,30133.27,202.443347
1181,4812.74,172.47417
1182,12061.92,144.960655
1183,6132.5,172.44408
1184,78238.99,222.61428
1185,15048.63,220.114868
1186,101771.45,127.442069
1187,12998.92,139.934918
1188,58997.61,172.457857
1189,19383.74,157.483594
1190,57062.8,187.481057
1191,7945.24,134.950905
1193,45869.12,194.988208
1194,3223.21,169.992756
1196,12411.88,152.510442
1197,35524.46,152.457857
1198,48154.12,139.951231
1199,85147.06,129.948316
1200,49691.34,159.987503
1202,49106.35,92.455141
1203,23379.71,204.961033
1205,11306.37,232.637807
1206,12851.22,169.937833
1207,23687.02,137.469817
1208,95197.4,172.462354
1209,29348.16,142.500692
1210,5028.44,192.440432
1212,34407.99,277.651257
1213,5874.73,157.469817
1214,68836.53,154.961766
1215,35105.32,162.468917
1216,15002.6,182.467607
1217,51988.65,195.006206
1219,20896.4,139.987503
1220,41058.3,172.456745
1221,22274.11,190.12704
1222,20436.28,255.155493
1224,20095.5,147.442069
1225,109373.69,187.49737
1226,45642.1,184.949594
1227,13802.12,202.443347
1228,67035.46,162.500692
1229,9237.79,159.979358
1230,98906.55,162.465269
1231,40529.84,182.443347
1232,49350.86,194.952509
1233,53196.73,149.962093
1234,11113.69,172.510442
1235,31644.7,227.475448
1236,26312.33,159.934918
1237,78370.93,184.949594
1238,6088.74,217.483972
1239,6479.72,172.510442
1240,40710.63,167.484705
1241,73646.38,172.440432
1243,3955.88,184.978458
1244,53513.98,232.637807
1245,42002.93,172.470522
1246,99800.11,182.45383
1248,82924.09,157.483594
1249,11824.7,167.456419
1250,73624.07,104.97808
1251,51606.19,152.479779
1253,33589.11,117.468591
1254,25866.44,179.947583
1255,6215.4,104.964303
1256,71631.82,245.128318
1258,30090.22,225.145743
1259,3811.96,104.964303
1261,35130.18,139.965008
1262,37445.32,214.966286
1265,27692.11,147.442069
1267,22536.48,184.971516
1268,35730.59,214.952509
1270,36901.24,194.976769
1271,27660.28,112.455141
1273,43436.42,242.61428
1274,56327.41,152.47417
1275,16762.99,217.483972
1276,46854.5,159.979358
1278,24378.22,215.159141
1280,38162.85,207.609354
1281,36333.77,192.440432
1282,13288.6,152.457857
1283,25446.01,207.609354
1284,26129.83,162.468917
1285,76184.47,172.470522
1286,81803.03,129.948316
1290,57844.94,197.470195
1291,36772.35,179.965581
1292,22853.63,147.473844
1293,39702.07,174.975543
1294,27546.33,162.446995
1295,27329.96,147.460067
1296,56631.76,182.45383
1297,135171.31,144.960655
1298,7619.18,142.452604
1299,65377.87,147.442069
1300,23514.45,104.964303
1302,35556.27,182.460772
1303,42326.58,164.988941
1304,4523.8,127.473844
1307,29093.29,137.468591
1308,65477.76,164.978458
1309,18185.88,154.975543
1310,34217.69,160.00128
1311,56034.16,182.460772
1313,80803.77,159.965008
1314,40392.47,172.455519
1317,26569.81,94.972827
1318,67521.69,169.937833
1319,62441.01,187.484705
1320,19165.73,172.462354
1321,33846.23,275.119794
1322,24892.78,194.976769
1323,77107.03,112.455141
1325,32296.27,245.131966
1326,27019.83,162.446995
1327,12353.15,169.937833
1329,42104.6,144.960655
1330,55656.36,184.978458
1331,48881.55,197.483972
1333,29822.31,147.442069
1334,72270.25,164.985293
1335,27669.39,147.456419
1336,42027.65,104.97808
1337,69014.19,220.114868
1338,63827.57,182.446995
1339,16502.68,160.00128
1340,45181.64,240.114868
1341,45244.57,255.155493
1342,27457.73,220.114868
1343,7326.3,142.471255
1344,60631.73,179.947583
1345,55708.35,140.004928
1346,36635.39,187.484705
1348,3381.33,162.471255
1349,57644.66,137.483594
1350,41967.93,149.944668
1351,27990.52,172.47417
1352,29318.41,184.979684
1353,33315.46,199.990219
1356,11856.64,182.446995
1358,62781.25,174.988208
1359,5601.94,164.967019
1360,41527.17,207.475448
1361,11098.51,255.119794
1362,50670.27,142.452604
1363,30118.57,117.487242
1364,12704.28,275.119794
1365,54567.1,172.47417
1366,54250.43,159.947583
1367,73645.85,157.483594
1368,41979.65,172.456745
1369,40057.18,179.947583
1370,115520.53,149.99153
1371,18913.5,204.979684
1373,57826.31,137.439154
1375,36220.07,235.159141
1376,47229.76,117.468591
1378,65392.96,159.987503
1379,71721.17,169.944668
1380,45734.73,200.118516
1381,33168.88,129.948316
1384,31781.03,159.951231
1385,47256.46,192.470522
1386,122844.86,124.964303
1388,52687.01,245.145743
1389,21817.19,159.951231
1392,22561.45,220.114868
1393,13935.17,162.468917
1395,57281.66,242.628057
1397,92748.49,124.97808
1398,27950.05,139.934918
1399,43525.94,184.985293
1400,55370.33,182.483267
1401,31003.45,255.133571
1402,55523.0,169.937833
1403,15782.0,129.959755
1404,47596.81,252.62403
1406,24216.4,132.466002
1407,10429.51,222.632554
1409,97462.46,127.442069
1411,41817.73,139.965008
1412,17888.07,129.948316
1413,30398.93,144.988941
1414,8657.1,149.992756
1415,46183.9,159.951231
1416,9106.57,184.979684
1417,50103.36,127.481989
1418,1193.19,132.466002
1419,57322.77,192.440432
1421,13337.97,217.472533
1422,66945.1,139.934918
1424,60150.88,149.977753
1425,49128.48,147.442069
1426,23702.37,149.937833
1427,25368.71,129.959755
1428,1593.76,137.483594
1429,24984.75,204.963371
1430,29315.24,270.160419
1431,13262.8,169.937833
1432,20617.44,262.610632
1433,44278.91,152.47417
1435,23194.97,245.146969
1436,37302.74,214.966286
1437,23781.26,127.442069
1439,63986.3,124.964303
1441,49399.04,162.471255
1442,32285.99,172.47417
1446,39373.92,160.00128
1448,47514.11,112.455141
1449,12599.71,137.439154
1450,44739.96,147.478341
